incident_id,asset_id,date,type,duration_hours,outage_mwh_lost,root_cause
INC-0001,TX-101,2023-12-17,unplanned_outage,5.06769374427321,14.842654880503519,Thermal_stress
INC-0002,TX-101,2022-11-23,unplanned_outage,15.188876205478621,3.0492962767445713,Moisture_ingress
INC-0003,TX-102,2022-12-06,oil_leak,4.081098927594267,40.77183431731842,Mechanical_shock
INC-0004,TX-103,2024-02-29,overtemperature_trip,23.03634910960268,17.904518365113958,Lightning_surge
INC-0005,TX-103,2022-01-07,oil_leak,2.8957344517488197,12.271681105969444,Mechanical_shock
INC-0006,TX-105,2024-05-23,unplanned_outage,5.608473620506676,2.7843127992685575,Mechanical_shock
INC-0007,TX-105,2024-01-14,scheduled_maintenance,3.0684844747548845,14.011914618228163,Insulation_aging
INC-0008,TX-105,2023-12-16,overtemperature_trip,0.8433491995828896,27.761607185959004,Mechanical_shock
INC-0009,TX-106,2024-03-03,partial_discharge_alarm,3.727551697573766,22.15565884758063,Insulation_aging
INC-0010,TX-106,2024-04-26,unplanned_outage,9.889852847685848,16.377762998592104,Moisture_ingress
INC-0011,TX-107,2022-02-05,unplanned_outage,2.2811865390922836,56.607346624382174,Overload
INC-0012,TX-108,2024-02-06,scheduled_maintenance,6.466814525706034,35.401870181162934,Lightning_surge
INC-0013,TX-108,2023-12-10,bushing_failure,9.815604891112804,22.60362538075188,Insulation_aging
INC-0014,TX-110,2022-11-12,oil_leak,1.767549913788772,40.07054330495163,Thermal_stress
INC-0015,TX-110,2024-11-06,unplanned_outage,0.5,3.452412838057075,Moisture_ingress
INC-0016,TX-110,2023-03-31,partial_discharge_alarm,4.103918196251189,40.922781611764556,Moisture_ingress
INC-0017,TX-110,2022-05-10,oil_leak,4.737925954141302,26.252365989008023,Overload
INC-0018,TX-111,2024-06-14,partial_discharge_alarm,0.5,48.999827887893204,Lightning_surge
INC-0019,TX-112,2022-04-06,overtemperature_trip,11.405349016225037,0.10190338670637483,Thermal_stress
INC-0020,TX-114,2024-09-01,unplanned_outage,3.5153011192715296,13.444672996041547,Mechanical_shock
INC-0021,TX-114,2022-09-16,unplanned_outage,3.944925791408007,8.135654029995363,Moisture_ingress
INC-0022,TX-117,2024-04-08,partial_discharge_alarm,2.5042881940080264,6.620896805942278,Overload
INC-0023,TX-117,2022-12-13,overtemperature_trip,5.779881271850387,4.312398984259383,Lightning_surge
INC-0024,TX-118,2022-05-13,scheduled_maintenance,23.70727269902817,21.62985429626817,Insulation_aging
