asset_id,health_index_score,risk_tier,RUL_days,fault_type,fault_label,fault_confidence,fault_proba_all,top3_shap_features,advisory_text,grid_zone,mva_rating,voltage_kv,criticality,archetype
TX-107,56.37,HIGH,33.2,D1,D1,0.649,"{'D1': 0.649, 'D2': 0.281, 'NF': 0.0, 'PD': 0.067, 'T1': 0.0, 'T2': 0.0, 'T3': 0.003}","[('Methane', 9.164), ('Acethylene', 9.052), ('Hydrogen', 5.585)]",,Zone-B,25.0,66kV,Critical,Electrical_Arcing
TX-112,53.25,HIGH,39.0,D1,D1,0.605,"{'D1': 0.605, 'D2': 0.218, 'NF': 0.011, 'PD': 0.111, 'T1': 0.01, 'T2': 0.009, 'T3': 0.036}","[('Methane', 12.3), ('Acethylene', 8.678), ('Hydrogen', 4.99)]",,Zone-C,25.0,132kV,Critical,Shock_PD
TX-104,38.64,MEDIUM,87.9,T1,possible T1,0.427,"{'D1': 0.0, 'D2': 0.007, 'NF': 0.044, 'PD': 0.0, 'T1': 0.427, 'T2': 0.385, 'T3': 0.137}","[('Methane', 13.13), ('DBDS', -3.704), ('Hydrogen', -3.491)]",,Zone-A,100.0,132kV,Critical,Progressive_Thermal
TX-109,38.62,MEDIUM,87.9,T1,possible T1,0.576,"{'D1': 0.067, 'D2': 0.0, 'NF': 0.199, 'PD': 0.007, 'T1': 0.576, 'T2': 0.075, 'T3': 0.076}","[('Methane', 18.146), ('Hydrogen', -4.25), ('Interfacial V', -1.45)]",,Zone-C,63.0,11kV,Medium,Stable
TX-115,36.13,MEDIUM,97.0,T2,possible T2,0.404,"{'D1': 0.019, 'D2': 0.007, 'NF': 0.17, 'PD': 0.029, 'T1': 0.227, 'T2': 0.404, 'T3': 0.144}","[('Methane', 17.533), ('DBDS', -3.985), ('Hydrogen', -3.886)]",,Zone-D,100.0,66kV,Critical,Intervention_Recovery
TX-111,34.53,MEDIUM,102.9,T1,possible T1,0.591,"{'D1': 0.085, 'D2': 0.0, 'NF': 0.116, 'PD': 0.013, 'T1': 0.591, 'T2': 0.099, 'T3': 0.097}","[('Methane', 13.509), ('DBDS', -4.246), ('Hydrogen', -3.912)]",,Zone-C,160.0,66kV,Low,Stable
TX-105,33.96,MEDIUM,105.0,T1,possible T1,0.543,"{'D1': 0.084, 'D2': 0.0, 'NF': 0.15, 'PD': 0.012, 'T1': 0.543, 'T2': 0.107, 'T3': 0.105}","[('Methane', 10.406), ('Hydrogen', -4.132), ('Interfacial V', 2.612)]",,Zone-B,100.0,11kV,High,Stable
TX-106,33.69,MEDIUM,106.0,T1,possible T1,0.538,"{'D1': 0.065, 'D2': 0.0, 'NF': 0.245, 'PD': 0.005, 'T1': 0.538, 'T2': 0.061, 'T3': 0.085}","[('Methane', 9.78), ('Hydrogen', -3.936), ('Interfacial V', 2.653)]",,Zone-B,160.0,33kV,Medium,Stable
TX-114,33.65,MEDIUM,106.1,T1,possible T1,0.539,"{'D1': 0.069, 'D2': 0.0, 'NF': 0.202, 'PD': 0.01, 'T1': 0.539, 'T2': 0.088, 'T3': 0.09}","[('Methane', 13.042), ('DBDS', -4.429), ('Hydrogen', -3.968)]",,Zone-D,63.0,33kV,Low,Stable
TX-103,32.92,MEDIUM,108.8,T1,possible T1,0.525,"{'D1': 0.09, 'D2': 0.0, 'NF': 0.146, 'PD': 0.011, 'T1': 0.525, 'T2': 0.095, 'T3': 0.132}","[('Methane', 10.942), ('DBDS', -4.361), ('Hydrogen', -3.347)]",,Zone-A,40.0,66kV,Low,Stable
