date,temp_max_c,precip_mm,windspeed_max_kmh
2026-06-15,20.3,1.7,15.0
2026-06-16,23.8,1.5,18.3
2026-06-17,21.1,5.4,20.6
2026-06-18,23.2,0.2,19.1
2026-06-19,25.3,0.0,21.8
2026-06-20,23.6,1.7,14.4
2026-06-21,27.5,0.0,13.6
2026-06-22,28.1,1.3,16.0
2026-06-23,32.1,0.0,13.8
2026-06-24,33.3,0.0,11.6
2026-06-25,33.2,0.0,18.3
2026-06-26,34.2,0.2,21.3
2026-06-27,28.1,1.2,21.5
2026-06-28,23.0,0.4,19.1
2026-06-29,21.9,0.0,13.7
2026-06-30,22.3,3.4,15.3
2026-07-01,22.8,0.4,19.5
2026-07-02,20.2,0.7,24.5
2026-07-03,26.2,0.0,18.5
2026-07-04,23.5,0.0,20.5
2026-07-05,26.4,0.2,15.5
2026-07-06,28.5,0.0,20.4
2026-07-07,29.5,0.0,15.1
2026-07-08,32.1,0.0,9.7
2026-07-09,33.6,0.0,13.7
2026-07-10,32.5,0.0,17.4
2026-07-11,28.6,0.0,16.7
2026-07-12,27.7,0.0,22.2
2026-07-13,25.1,0.0,20.4
2026-07-14,25.4,0.0,19.0
2026-07-15,25.3,0.0,15.3
2026-07-16,26.9,0.0,12.7
2026-07-17,26.8,0.0,13.8
2026-07-18,22.0,0.2,14.5
2026-07-19,21.6,0.0,12.4
2026-07-20,24.7,0.0,13.6
2026-07-21,25.3,0.0,13.9
2026-07-22,23.5,0.0,11.2
2026-07-23,25.1,0.0,13.8
2026-07-24,25.7,0.0,15.5
2026-07-25,25.0,0.0,22.0
2026-07-26,21.1,0.4,22.2
2026-07-27,23.3,0.0,16.8
2026-07-28,27.7,0.0,15.1
2026-07-29,29.1,0.0,15.7
2026-07-30,22.7,1.1,15.3
2026-07-31,22.0,0.0,14.9
2026-08-01,22.8,0.0,14.0
2026-08-02,25.2,0.0,16.2
2026-08-03,29.6,0.0,17.2
2026-08-04,27.2,2.4,20.6
2026-08-05,21.5,0.1,22.7
2026-08-06,19.4,0.0,17.3
2026-08-07,23.5,0.0,9.0
2026-08-08,26.1,0.0,11.8
2026-08-09,28.2,0.0,17.2
2026-08-10,23.1,0.0,13.7
2026-08-11,26.8,0.0,14.5
2026-08-12,32.3,0.0,13.6
2026-08-13,36.0,0.0,16.5
2026-08-14,29.5,2.3,16.7
2026-08-15,22.4,0.0,14.3
2026-08-16,23.0,0.0,13.4
2026-08-17,23.2,1.1,15.1
2026-08-18,20.8,6.2,15.5
2026-08-19,21.4,2.5,17.3
2026-08-20,19.5,5.2,17.5
2026-08-21,18.8,1.2,12.6
2026-08-22,20.3,0.0,12.8
2026-08-23,22.2,0.0,11.7
2026-08-24,21.7,0.0,18.3
2026-08-25,25.2,0.0,18.9
2026-08-26,25.9,4.3,17.0
2026-08-27,20.5,20.3,13.3
2026-08-28,21.2,7.3,19.7
2026-08-29,18.9,9.8,16.1
2026-08-30,20.8,4.6,21.3
2026-08-31,19.4,3.9,18.3
2026-09-01,19.5,0.0,15.2
2026-09-02,19.5,3.5,20.2
2026-09-03,23.0,0.1,22.7
2026-09-04,19.0,9.3,27.2
2026-09-05,19.1,0.0,15.4
2026-09-06,23.3,2.5,16.3
2026-09-07,20.1,1.1,18.0
2026-09-08,17.4,6.1,21.2
2026-09-09,17.2,0.0,17.1
2026-09-10,18.3,0.3,24.6
2026-09-11,20.0,0.1,14.4
2026-09-12,21.4,6.2,25.0
